,StopPointRef,CommonName_x,LocalityName_x,LocalityQualifier,AtcoCode,NaptanCode,PlateCode,CleardownCode,CommonName_y,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName_y,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
119503,0180BAC30859,High St Top,Midsomer Norton,Bath & NE Somerset,0180BAC30859,bthawmd,,,High St Top,en,,,,,High Street,en,,,S-bound,en,S,E0035052,Midsomer Norton,Norton-Radstock,,,,,,0,U,366753,154534,-2.4781539904,51.2889582539,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119504,0180BAC30859,High St Top,Midsomer Norton,Bath & NE Somerset,0180BAC30859,bthawmd,,,High St Top,en,,,,,High Street,en,,,S-bound,en,S,E0035052,Midsomer Norton,Norton-Radstock,,,,,,0,U,366753,154534,-2.4781539904,51.2889582539,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119505,0180BAC30859,High St Top,Midsomer Norton,Bath & NE Somerset,0180BAC30859,bthawmd,,,High St Top,en,,,,,High Street,en,,,S-bound,en,S,E0035052,Midsomer Norton,Norton-Radstock,,,,,,0,U,366753,154534,-2.4781539904,51.2889582539,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119506,0180BAC30859,High St Top,Midsomer Norton,Bath & NE Somerset,0180BAC30859,bthawmd,,,High St Top,en,,,,,High Street,en,,,S-bound,en,S,E0035052,Midsomer Norton,Norton-Radstock,,,,,,0,U,366753,154534,-2.4781539904,51.2889582539,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119507,0180BAC30889,Sunnymead,Thicket Mead,Bath & NE Somerset,0180BAC30889,bthatdp,,,Sunnymead,en,,,,,West Road,en,,,E-bound,en,E,N0060712,Thicket Mead,Midsomer Norton,Norton-Radstock,,,,,0,U,365962,154969,-2.4895384458,51.2928227822,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119508,0180BAC30889,Sunnymead,Thicket Mead,Bath & NE Somerset,0180BAC30889,bthatdp,,,Sunnymead,en,,,,,West Road,en,,,E-bound,en,E,N0060712,Thicket Mead,Midsomer Norton,Norton-Radstock,,,,,0,U,365962,154969,-2.4895384458,51.2928227822,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119509,0180BAC30889,Sunnymead,Thicket Mead,Bath & NE Somerset,0180BAC30889,bthatdp,,,Sunnymead,en,,,,,West Road,en,,,E-bound,en,E,N0060712,Thicket Mead,Midsomer Norton,Norton-Radstock,,,,,0,U,365962,154969,-2.4895384458,51.2928227822,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119510,0180BAC30889,Sunnymead,Thicket Mead,Bath & NE Somerset,0180BAC30889,bthatdp,,,Sunnymead,en,,,,,West Road,en,,,E-bound,en,E,N0060712,Thicket Mead,Midsomer Norton,Norton-Radstock,,,,,0,U,365962,154969,-2.4895384458,51.2928227822,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119511,0180BAC30889,Sunnymead,Thicket Mead,Bath & NE Somerset,0180BAC30889,bthatdp,,,Sunnymead,en,,,,,West Road,en,,,E-bound,en,E,N0060712,Thicket Mead,Midsomer Norton,Norton-Radstock,,,,,0,U,365962,154969,-2.4895384458,51.2928227822,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
119512,0180BAC30891,Monger Lane,Thicket Mead,Bath & NE Somerset,0180BAC30891,bthatmp,,,Monger Lane,en,,,,,West Road,en,,,E-bound,en,E,N0060712,Thicket Mead,Midsomer Norton,Norton-Radstock,,,,,0,U,366185,154991,-2.4863424682,51.2930339256,BCT,MKD,OTH,,,,1,2014-10-21T13:55:29,2014-07-14T15:18:17,0,new,act
